Date,Rainfall (mm),Tmax (°C),Tmin (°C),ET (mm/day),Ra (mm/day),relative_humidity,Latitude,Longitude,Station
2012-01-01,0.455004,23.0,13.4,2.704507066380749,10.541979496570972,69.122,20.018748,-155.692546,Hirako Farm
2012-01-02,0.129192,23.2,13.9,2.6924698418589275,10.56032105950732,70.4179,20.018748,-155.692546,Hirako Farm
2012-01-03,0.323604,23.1,14.9,2.5643108425138283,10.580058956652111,71.3462,20.018748,-155.692546,Hirako Farm
2012-01-04,0.0610648,23.3,14.5,2.654541587091417,10.601182163961555,66.5228,20.018748,-155.692546,Hirako Farm
2012-01-05,0.0208712,23.2,13.4,2.761359863812173,10.623678818023743,61.9501,20.018748,-155.692546,Hirako Farm
2012-01-06,0.0,22.9,12.9,2.7646819573931936,10.647536221331242,60.3302,20.018748,-155.692546,Hirako Farm
2012-01-07,0.0366223,23.1,13.0,2.7967500020661453,10.672740848080421,59.3736,20.018748,-155.692546,Hirako Farm
2012-01-08,0.0554504,23.1,12.5,2.8522346583356786,10.699278350513923,63.669,20.018748,-155.692546,Hirako Farm
2012-01-09,0.332235,23.2,12.6,2.867693110208627,10.727133565823442,62.0147,20.018748,-155.692546,Hirako Farm
2012-01-10,0.24587,22.6,12.4,2.789106842534606,10.756290523629593,65.5713,20.018748,-155.692546,Hirako Farm
2012-01-11,0.957662,21.4,13.1,2.505213892935338,10.78673245405614,69.9167,20.018748,-155.692546,Hirako Farm
2012-01-12,1.84407,21.2,13.7,2.4020514308544763,10.818441796415314,74.2325,20.018748,-155.692546,Hirako Farm
2012-01-13,0.289528,22.3,12.7,2.7297566888612166,10.851400208520953,69.3365,20.018748,-155.692546,Hirako Farm
2012-01-14,0.0336279,22.6,12.9,2.772076583441937,10.885588576645747,62.6955,20.018748,-155.692546,Hirako Farm
2012-01-15,0.283245,23.1,14.4,2.707925642509486,10.920987026138205,70.5483,20.018748,-155.692546,Hirako Farm
2012-01-16,0.0657437,24.2,14.4,2.9270438774307492,10.957574932714532,66.8203,20.018748,-155.692546,Hirako Farm
