loss,mae,val_loss,val_mae
0.9979,0.6211,1.0952,0.6329
0.9111,0.5846,1.0585,0.6356
0.8796,0.5685,1.0377,0.6436
0.8567,0.556,1.0322,0.6515
0.842,0.5471,1.0224,0.644
0.8318,0.5399,1.0225,0.6463
0.8244,0.5385,1.0245,0.6451
0.815,0.5322,1.029,0.6454
0.8094,0.5286,1.0288,0.6463
0.8011,0.5268,1.0293,0.6407
