loss,mae,val_loss,val_mae
0.9965,0.7017,1.3567,0.8102
0.9647,0.6809,1.3116,0.8074
0.9452,0.6754,1.2863,0.8067
0.932,0.6682,1.2794,0.8022
0.9202,0.6625,1.272,0.799
0.9135,0.6595,1.266,0.7976
0.9081,0.6564,1.2649,0.7953
0.8981,0.6521,1.2649,0.7942
0.8925,0.6499,1.2679,0.7938
0.8878,0.6494,1.2767,0.7945
0.8887,0.6464,1.2804,0.7946
0.8786,0.6444,1.2812,0.798
