loss,mae,val_loss,val_mae
1.0305,0.7501,1.0564,0.7563
0.9858,0.7346,1.0412,0.7527
0.9656,0.7276,1.0263,0.7508
0.9543,0.7226,1.0147,0.7468
0.9479,0.718,1.0092,0.7457
0.9391,0.7144,1.0055,0.7462
0.9323,0.7099,1.005,0.7471
0.9275,0.7083,1.0081,0.7517
0.9248,0.7078,1.0073,0.7514
0.9201,0.7045,1.0068,0.7526
0.9197,0.7039,1.007,0.7518
0.9168,0.704,1.0074,0.753
