Date,Rainfall (mm),Tmax (°C),Tmin (°C),ET (mm/day),Ra (mm/day),Latitude,Longitude,Station
2025-01-01,0.165448,24.8,15.2,2.840730095449681,10.545683182603732,20.002619,-155.694092,Hirako Farm
2025-01-02,0.165175,24.0,14.8,2.7415353830704015,10.564018809725699,20.002619,-155.694092,Hirako Farm
2025-01-03,0.179998,23.7,14.2,2.757316149757737,10.583750235326889,20.002619,-155.694092,Hirako Farm
2025-01-04,0.00506127,23.3,13.1,2.8043720218566253,10.604866433129182,20.002619,-155.694092,Hirako Farm
2025-01-05,0.0194341,24.1,13.3,2.9319582939367144,10.62735553738006,20.002619,-155.694092,Hirako Farm
2025-01-06,0.714904,23.9,14.8,2.7454028966169757,10.651204848134983,20.002619,-155.694092,Hirako Farm
2025-01-07,1.32747,24.4,14.7,2.856466794991984,10.676400837066964,20.002619,-155.694092,Hirako Farm
2025-01-08,0.0,24.0,13.7,2.895496724952738,10.702929153819886,20.002619,-155.694092,Hirako Farm
2025-01-09,0.0698477,23.7,16.0,2.5785125711104024,10.730774632922493,20.002619,-155.694092,Hirako Farm
2025-01-10,0.228543,24.0,15.9,2.6588656678569627,10.759921301280034,20.002619,-155.694092,Hirako Farm
2025-01-11,0.911954,23.0,15.1,2.5704816136520874,10.790352386260558,20.002619,-155.694092,Hirako Farm
2025-01-12,0.0,23.9,15.2,2.742127332182301,10.822050324392745,20.002619,-155.694092,Hirako Farm
2025-01-13,3.62046,24.4,16.2,2.723889192027696,10.854996770691896,20.002619,-155.694092,Hirako Farm
2025-01-14,0.392741,22.3,14.9,2.47993307912804,10.889172608630282,20.002619,-155.694092,Hirako Farm
2025-01-15,0.910212,22.6,14.2,2.636209512268232,10.924557960767547,20.002619,-155.694092,Hirako Farm
2025-01-16,0.512756,22.2,13.5,2.650955345463385,10.961132200056214,20.002619,-155.694092,Hirako Farm
2025-01-17,0.381012,22.4,13.7,2.6750065375304186,10.99887396183645,20.002619,-155.694092,Hirako Farm
2025-01-18,0.0756251,22.3,13.1,2.7335756358984646,11.03776115653349,20.002619,-155.694092,Hirako Farm
2025-01-19,0.0207619,22.7,12.9,2.8395090312753895,11.077770983069906,20.002619,-155.694092,Hirako Farm
