Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),Ra (mm/day),ndvi_modis,Latitude,Longitude,Station
2000-01-01,0.000616614,22.9,11.7,17.3,17.299999999999997,17.3,2.8481714648116223,10.541979496570972,,20.018748,-155.692546,Hirako Farm
2000-01-02,0.00242601,23.1,12.8,18.0,17.950000000000003,18.0,2.7906578767506915,10.56032105950732,,20.018748,-155.692546,Hirako Farm
2000-01-03,0.0,23.2,13.5,18.4,18.35,18.4,2.743534093410581,10.580058956652111,,20.018748,-155.692546,Hirako Farm
2000-01-04,0.105233,23.7,14.1,18.9,18.9,18.9,2.772578262706751,10.601182163961555,,20.018748,-155.692546,Hirako Farm
2000-01-05,0.801095,23.2,14.1,18.7,18.65,18.7,2.6903967456907893,10.623678818023743,,20.018748,-155.692546,Hirako Farm
2000-01-06,1.0635,23.3,13.9,18.6,18.6,18.6,2.7330166193133394,10.647536221331242,,20.018748,-155.692546,Hirako Farm
2000-01-07,1.14503,22.4,13.9,18.2,18.15,18.2,2.576414672712125,10.672740848080421,,20.018748,-155.692546,Hirako Farm
2000-01-08,1.08656,21.9,13.3,17.6,17.6,17.6,2.554670010825094,10.699278350513923,,20.018748,-155.692546,Hirako Farm
2000-01-09,0.431115,22.2,13.8,18.0,18.0,18.0,2.5599659796141037,10.727133565823442,,20.018748,-155.692546,Hirako Farm
2000-01-10,0.604177,21.9,14.1,18.0,18.0,18.0,2.4735499675346526,10.756290523629593,,20.018748,-155.692546,Hirako Farm
2000-01-11,0.718026,22.1,14.1,18.1,18.1,18.1,2.519168313551906,10.78673245405614,,20.018748,-155.692546,Hirako Farm
2000-01-12,2.99817,22.5,13.7,18.1,18.1,18.1,2.649892973476289,10.818441796415314,,20.018748,-155.692546,Hirako Farm
2000-01-13,6.31759,21.4,14.5,18.0,17.95,18.0,2.3470437706179412,10.851400208520953,,20.018748,-155.692546,Hirako Farm
2000-01-14,1.54051,21.8,14.0,17.9,17.9,17.9,2.496291336574485,10.885588576645747,,20.018748,-155.692546,Hirako Farm
2000-01-15,7.73717,22.0,13.2,17.6,17.6,17.6,2.637754212584557,10.920987026138205,,20.018748,-155.692546,Hirako Farm
2000-01-16,7.54452,21.2,13.7,17.4,17.45,17.4,2.429492599118125,10.957574932714532,,20.018748,-155.692546,Hirako Farm
2000-01-17,2.70653,21.2,12.3,16.8,16.75,16.8,2.6104010970801843,10.995330934439586,,20.018748,-155.692546,Hirako Farm
2000-01-18,1.62974,20.2,12.2,16.2,16.2,16.2,2.4405847580897175,11.034232944410288,,20.018748,-155.692546,Hirako Farm
2000-01-19,1.05579,20.5,12.3,16.4,16.4,16.4,2.4944540707029286,11.074258164153791,,20.018748,-155.692546,Hirako Farm
2000-01-20,1.0212,20.0,13.0,16.5,16.5,16.5,2.3200396735706232,11.115383097751556,,20.018748,-155.692546,Hirako Farm
2000-01-21,2.93646,20.6,13.7,17.2,17.15,17.2,2.359340234901515,11.157583566699142,,20.018748,-155.692546,Hirako Farm
2000-01-22,7.28315,22.1,13.2,17.6,17.65,17.6,2.72067390020401,11.200834725510177,,20.018748,-155.692546,Hirako Farm
2000-01-23,0.0175942,21.7,10.9,16.3,16.3,16.3,2.898396806161662,11.245111078071535,,20.018748,-155.692546,Hirako Farm
2000-01-24,0.0660013,21.5,9.9,15.7,15.7,15.7,2.9628553326716145,11.290386494754935,,20.018748,-155.692546,Hirako Farm
2000-01-25,0.0483229,20.6,9.8,15.2,15.200000000000001,15.2,2.8277290159396853,11.336634230288764,,20.018748,-155.692546,Hirako Farm
2000-01-26,4.15344,20.7,10.6,15.6,15.649999999999999,15.6,2.779222228682703,11.383826942391936,,20.018748,-155.692546,Hirako Farm
2000-01-27,7.5772,21.5,12.3,16.9,16.9,16.9,2.767394260918052,11.431936711169836,,20.018748,-155.692546,Hirako Farm
2000-01-28,0.629234,21.5,11.9,16.7,16.7,16.7,2.822668053592981,11.480935059270445,,20.018748,-155.692546,Hirako Farm
2000-01-29,0.256441,22.9,12.2,17.6,17.549999999999997,17.6,3.071016583530452,11.530792972796759,,20.018748,-155.692546,Hirako Farm
2000-01-30,0.0223049,23.1,12.9,18.0,18.0,18.0,3.0456152939862378,11.581480922969522,,20.018748,-155.692546,Hirako Farm
2000-01-31,0.0252894,22.9,12.9,17.9,17.9,17.9,3.0205541008265815,11.632968888532316,,20.018748,-155.692546,Hirako Farm
2000-02-01,0.254968,23.8,13.1,18.4,18.45,18.4,3.1824781150828194,11.68522637888872,,20.018748,-155.692546,Hirako Farm
2000-02-02,0.0,23.6,12.5,18.0,18.05,18.0,3.220139512312247,11.738222457959298,,20.018748,-155.692546,Hirako Farm
2000-02-03,0.0,23.1,11.8,17.4,17.450000000000003,17.4,3.209182814438925,11.79192576874382,,20.018748,-155.692546,Hirako Farm
2000-02-04,0.000310692,23.0,11.9,17.4,17.45,17.4,3.195323862362918,11.846304558571992,,20.018748,-155.692546,Hirako Farm
