loss,mse,val_loss,val_mse
0.48520493507385254,1.0759592056274414,0.5257555842399597,1.26706063747406
0.4602692425251007,1.0711368322372437,0.5214483737945557,1.2514069080352783
0.452564001083374,1.061031460762024,0.5120047330856323,1.2474355697631836
0.4477351903915405,1.04629647731781,0.50889652967453,1.222735047340393
0.4430203437805176,1.028107762336731,0.5038684010505676,1.2047196626663208
0.437966525554657,1.0022469758987427,0.5011094212532043,1.1852720975875854
0.43258753418922424,0.9824066758155823,0.4989049434661865,1.176146149635315
0.4284640848636627,0.9717630743980408,0.49742791056632996,1.1764861345291138
0.42536282539367676,0.9562805891036987,0.4967987835407257,1.1784993410110474
0.42324352264404297,0.9519092440605164,0.4993579685688019,1.1751446723937988
0.4211115539073944,0.9420223236083984,0.5000195503234863,1.1879825592041016
0.41992583870887756,0.9390543699264526,0.501507043838501,1.1903449296951294
0.41794466972351074,0.9353634119033813,0.502889096736908,1.1855984926223755
0.4177248477935791,0.935431957244873,0.5037308931350708,1.1904160976409912
