loss,mse,val_loss,val_mse
0.642932116985321,1.0505112409591675,0.7877979874610901,1.440961480140686
0.6190232634544373,1.045608401298523,0.7817336916923523,1.4117716550827026
0.614537239074707,1.0346571207046509,0.778429388999939,1.39446222782135
0.6081038117408752,1.021187663078308,0.7751733660697937,1.3844181299209595
0.6045605540275574,1.0121514797210693,0.7724732160568237,1.3670506477355957
0.6016479730606079,1.0051722526550293,0.7724635601043701,1.3684344291687012
0.598690927028656,0.9959768652915955,0.7709343433380127,1.3599140644073486
0.5976932048797607,0.991973340511322,0.7704166173934937,1.3689900636672974
0.5952848792076111,0.9884797930717468,0.770462155342102,1.3583563566207886
0.5942143201828003,0.9905480742454529,0.7714827656745911,1.3711520433425903
0.5936239957809448,0.9864209890365601,0.7710427641868591,1.3609304428100586
0.5914269089698792,0.98313307762146,0.7744696140289307,1.3709160089492798
0.5922501087188721,0.9838032722473145,0.7722610235214233,1.364956259727478
